Tid	Kanal A
(s)	(V)

0.00000000	4.56692900
0.00016667	4.64566900
0.00033334	4.56692900
0.00050002	4.56692900
0.00066669	4.56692900
0.00083336	4.56692900
0.00100003	4.56692900
0.00116670	4.64566900
0.00133338	4.56692900
0.00150005	4.56692900
0.00166672	4.56692900
0.00183339	4.56692900
0.00200006	4.56692900
0.00216674	4.56692900
0.00233341	4.56692900
0.00250008	4.48818900
0.00266675	4.48818900
0.00283342	4.48818900
0.00300010	4.48818900
0.00316677	4.48818900
0.00333344	4.48818900
0.00350011	4.56692900
0.00366678	4.56692900
0.00383346	4.56692900
0.00400013	4.48818900
0.00416680	4.56692900
0.00433347	4.56692900
0.00450014	4.56692900
0.00466682	4.56692900
0.00483349	4.56692900
0.00500016	4.56692900
0.00516683	4.56692900
0.00533350	4.48818900
0.00550018	4.56692900
0.00566685	4.48818900
0.00583352	4.48818900
0.00600019	4.48818900
0.00616686	4.48818900
0.00633354	4.48818900
0.00650021	4.48818900
0.00666688	4.48818900
0.00683355	4.48818900
0.00700022	4.48818900
0.00716690	4.48818900
0.00733357	4.56692900
0.00750024	4.56692900
0.00766691	4.56692900
0.00783358	4.56692900
0.00800026	4.56692900
0.00816693	4.56692900
0.00833360	4.56692900
0.00850027	4.56692900
0.00866694	4.48818900
0.00883362	4.48818900
0.00900029	4.48818900
0.00916696	4.48818900
0.00933363	4.48818900
0.00950030	4.48818900
0.00966698	4.48818900
0.00983365	4.48818900
0.01000032	4.48818900
0.01016699	4.48818900
0.01033366	4.48818900
0.01050034	4.48818900
0.01066701	4.48818900
0.01083368	4.48818900
0.01100035	4.48818900
0.01116702	4.48818900
0.01133370	4.48818900
0.01150037	4.48818900
0.01166704	4.48818900
0.01183371	4.48818900
0.01200038	4.48818900
0.01216706	4.48818900
0.01233373	4.48818900
0.01250040	4.48818900
0.01266707	4.40944900
0.01283374	4.40944900
0.01300042	4.40944900
0.01316709	4.40944900
0.01333376	4.40944900
0.01350043	4.40944900
0.01366710	4.48818900
0.01383378	4.48818900
0.01400045	4.48818900
0.01416712	4.56692900
0.01433379	4.56692900
0.01450046	4.56692900
0.01466714	4.56692900
0.01483381	4.56692900
0.01500048	4.48818900
0.01516715	4.56692900
0.01533382	4.48818900
0.01550050	4.48818900
0.01566717	4.48818900
0.01583384	4.48818900
0.01600051	4.48818900
0.01616718	4.48818900
0.01633386	4.48818900
0.01650053	4.48818900
0.01666720	4.48818900
0.01683387	4.48818900
0.01700054	4.48818900
0.01716722	4.48818900
0.01733389	4.48818900
0.01750056	4.48818900
0.01766723	4.48818900
0.01783390	4.48818900
0.01800058	4.40944900
0.01816725	4.40944900
0.01833392	4.40944900
0.01850059	4.33070900
0.01866726	4.33070900
0.01883393	4.33070900
0.01900061	4.33070900
0.01916728	4.25196800
0.01933395	4.33070900
0.01950062	4.33070900
0.01966729	4.33070900
0.01983397	4.33070900
0.02000064	4.33070900
0.02016731	4.33070900
0.02033398	4.25196800
0.02050065	4.25196800
0.02066733	4.25196800
0.02083400	4.17322800
0.02100067	4.17322800
0.02116734	4.17322800
0.02133401	4.17322800
0.02150069	4.09448800
0.02166736	4.09448800
0.02183403	4.09448800
0.02200070	4.09448800
0.02216737	4.09448800
0.02233405	4.09448800
0.02250072	4.09448800
0.02266739	4.09448800
0.02283406	4.17322800
0.02300073	4.17322800
0.02316741	4.17322800
0.02333408	4.17322800
0.02350075	4.17322800
0.02366742	4.17322800
0.02383409	4.17322800
0.02400077	4.09448800
0.02416744	4.09448800
0.02433411	4.09448800
0.02450078	4.09448800
0.02466745	4.09448800
0.02483413	4.09448800
0.02500080	4.17322800
0.02516747	4.17322800
0.02533414	4.17322800
0.02550081	4.17322800
0.02566749	4.17322800
0.02583416	4.17322800
0.02600083	4.17322800
0.02616750	4.17322800
0.02633417	4.17322800
0.02650085	4.17322800
0.02666752	4.17322800
0.02683419	4.17322800
0.02700086	4.17322800
0.02716753	4.17322800
0.02733421	4.17322800
0.02750088	4.17322800
0.02766755	4.17322800
0.02783422	4.17322800
0.02800089	4.17322800
0.02816757	4.17322800
0.02833424	4.17322800
0.02850091	4.17322800
0.02866758	4.17322800
0.02883425	4.17322800
0.02900093	4.17322800
0.02916760	4.17322800
