Tid	Kanal A
(s)	(V)

0.00000000	3.46456700
0.00016667	3.46456700
0.00033334	3.54330700
0.00050002	3.46456700
0.00066669	3.46456700
0.00083336	3.46456700
0.00100003	3.46456700
0.00116670	3.46456700
0.00133338	3.38582700
0.00150005	3.38582700
0.00166672	3.38582700
0.00183339	3.38582700
0.00200006	3.30708700
0.00216674	3.30708700
0.00233341	3.38582700
0.00250008	3.38582700
0.00266675	3.38582700
0.00283342	3.38582700
0.00300010	3.46456700
0.00316677	3.46456700
0.00333344	3.46456700
0.00350011	3.46456700
0.00366678	3.46456700
0.00383346	3.46456700
0.00400013	3.46456700
0.00416680	3.38582700
0.00433347	3.38582700
0.00450014	3.38582700
0.00466682	3.38582700
0.00483349	3.38582700
0.00500016	3.38582700
0.00516683	3.38582700
0.00533350	3.38582700
0.00550018	3.46456700
0.00566685	3.46456700
0.00583352	3.54330700
0.00600019	3.54330700
0.00616686	3.54330700
0.00633354	3.54330700
0.00650021	3.54330700
0.00666688	3.54330700
0.00683355	3.54330700
0.00700022	3.54330700
0.00716690	3.54330700
0.00733357	3.54330700
0.00750024	3.54330700
0.00766691	3.54330700
0.00783358	3.54330700
0.00800026	3.62204700
0.00816693	3.62204700
0.00833360	3.62204700
0.00850027	3.62204700
0.00866694	3.62204700
0.00883362	3.62204700
0.00900029	3.62204700
0.00916696	3.62204700
0.00933363	3.62204700
0.00950030	3.54330700
0.00966698	3.54330700
0.00983365	3.54330700
0.01000032	3.54330700
0.01016699	3.54330700
0.01033366	3.54330700
0.01050034	3.54330700
0.01066701	3.54330700
0.01083368	3.54330700
0.01100035	3.54330700
0.01116702	3.54330700
0.01133370	3.54330700
0.01150037	3.46456700
0.01166704	3.46456700
0.01183371	3.46456700
0.01200038	3.38582700
0.01216706	3.38582700
0.01233373	3.38582700
0.01250040	3.38582700
0.01266707	3.38582700
0.01283374	3.30708700
0.01300042	3.38582700
0.01316709	3.38582700
0.01333376	3.30708700
0.01350043	3.38582700
0.01366710	3.30708700
0.01383378	3.30708700
0.01400045	3.30708700
0.01416712	3.30708700
0.01433379	3.30708700
0.01450046	3.30708700
0.01466714	3.22834600
0.01483381	3.22834600
0.01500048	3.22834600
0.01516715	3.14960600
0.01533382	3.22834600
0.01550050	3.14960600
0.01566717	3.14960600
0.01583384	3.22834600
0.01600051	3.22834600
0.01616718	3.22834600
0.01633386	3.22834600
0.01650053	3.22834600
0.01666720	3.22834600
0.01683387	3.22834600
0.01700054	3.22834600
0.01716722	3.14960600
0.01733389	3.14960600
0.01750056	3.14960600
0.01766723	3.14960600
0.01783390	3.14960600
0.01800058	3.14960600
0.01816725	3.14960600
0.01833392	3.14960600
0.01850059	3.14960600
0.01866726	3.14960600
0.01883393	3.14960600
0.01900061	3.22834600
0.01916728	3.22834600
0.01933395	3.22834600
0.01950062	3.22834600
0.01966729	3.30708700
0.01983397	3.22834600
0.02000064	3.30708700
0.02016731	3.22834600
0.02033398	3.30708700
0.02050065	3.30708700
0.02066733	3.30708700
0.02083400	3.30708700
0.02100067	3.30708700
0.02116734	3.30708700
0.02133401	3.30708700
0.02150069	3.30708700
0.02166736	3.38582700
0.02183403	3.30708700
0.02200070	3.30708700
0.02216737	3.30708700
0.02233405	3.30708700
0.02250072	3.30708700
0.02266739	3.30708700
0.02283406	3.38582700
0.02300073	3.38582700
0.02316741	3.38582700
0.02333408	3.38582700
0.02350075	3.38582700
0.02366742	3.38582700
0.02383409	3.38582700
0.02400077	3.38582700
0.02416744	3.38582700
0.02433411	3.38582700
0.02450078	3.38582700
0.02466745	3.38582700
0.02483413	3.38582700
0.02500080	3.38582700
0.02516747	3.38582700
0.02533414	3.38582700
0.02550081	3.46456700
0.02566749	3.46456700
0.02583416	3.46456700
0.02600083	3.46456700
0.02616750	3.46456700
0.02633417	3.46456700
0.02650085	3.46456700
0.02666752	3.46456700
0.02683419	3.46456700
0.02700086	3.54330700
0.02716753	3.46456700
0.02733421	3.54330700
0.02750088	3.54330700
0.02766755	3.54330700
0.02783422	3.54330700
0.02800089	3.62204700
0.02816757	3.54330700
0.02833424	3.54330700
0.02850091	3.54330700
0.02866758	3.54330700
0.02883425	3.54330700
0.02900093	3.54330700
0.02916760	3.54330700
