Tid	Kanal A	Kanal B
(ms)	(V)	(V)

0.00000000	2.91338600	6.29921200
0.03060800	2.99212600	6.29921200
0.06121600	3.07086600	6.29921200
0.09182400	3.07086600	6.29921200
0.12243200	3.14960600	6.29921200
0.15304000	3.14960600	6.29921200
0.18364800	3.22834600	6.29921200
0.21425600	3.30708700	6.29921200
0.24486400	3.30708700	6.29921200
0.27547200	3.30708700	6.29921200
0.30608000	3.38582700	6.29921200
0.33668800	3.38582700	6.29921200
0.36729600	3.46456700	6.22047200
0.39790400	3.54330700	6.29921200
0.42851200	3.54330700	6.29921200
0.45912000	3.54330700	6.22047200
0.48972800	3.62204700	6.29921200
0.52033600	3.62204700	6.29921200
0.55094400	3.62204700	6.22047200
0.58155200	3.70078700	6.22047200
0.61216000	3.70078700	6.22047200
0.64276800	3.77952800	6.22047200
0.67337600	3.77952800	6.22047200
0.70398400	3.85826800	6.22047200
0.73459200	3.85826800	6.22047200
0.76520000	3.93700800	6.22047200
0.79580800	3.93700800	6.22047200
0.82641600	4.01574800	6.22047200
0.85702400	4.01574800	6.22047200
0.88763200	4.09448800	6.22047200
0.91824000	4.09448800	6.14173200
0.94884800	4.09448800	6.22047200
0.97945600	4.17322800	6.14173200
1.01006400	4.17322800	6.14173200
1.04067200	4.17322800	6.14173200
1.07128000	4.25196800	6.14173200
1.10188800	4.25196800	6.14173200
1.13249600	4.33070900	6.14173200
1.16310400	4.33070900	6.14173200
1.19371200	4.40944900	6.14173200
1.22432000	4.40944900	6.14173200
1.25492800	4.48818900	6.14173200
1.28553600	4.48818900	6.14173200
1.31614400	4.48818900	6.14173200
1.34675200	4.56692900	6.14173200
1.37736000	4.56692900	6.14173200
1.40796800	4.56692900	6.14173200
1.43857600	4.64566900	6.14173200
1.46918400	4.64566900	6.06299200
1.49979200	4.72441000	6.14173200
1.53040000	4.72441000	6.06299200
1.56100800	4.72441000	6.06299200
1.59161600	4.80315000	6.06299200
1.62222400	4.80315000	6.06299200
1.65283200	4.88189000	6.06299200
1.68344000	4.88189000	6.06299200
1.71404800	4.88189000	6.06299200
1.74465601	4.96063000	6.06299200
1.77526401	4.96063000	6.06299200
1.80587201	5.03937000	6.06299200
1.83648001	5.03937000	6.06299200
1.86708801	5.11811000	6.06299200
1.89769601	5.11811000	5.98425200
1.92830401	5.11811000	6.06299200
1.95891201	5.19685000	5.98425200
1.98952001	5.27559000	6.06299200
2.02012801	5.27559000	5.98425200
2.05073601	5.27559000	5.98425200
2.08134401	5.35433100	5.98425200
2.11195201	5.35433100	5.98425200
2.14256001	5.35433100	5.98425200
2.17316801	5.43307100	5.98425200
2.20377601	5.43307100	5.98425200
2.23438401	5.51181100	5.98425200
2.26499201	5.51181100	5.98425200
2.29560001	5.59055100	5.98425200
2.32620801	5.59055100	5.98425200
2.35681601	5.59055100	5.98425200
2.38742401	5.66929100	5.98425200
2.41803201	5.66929100	5.98425200
2.44864001	5.66929100	5.90551200
2.47924801	5.74803200	5.90551200
2.50985601	5.74803200	5.90551200
2.54046401	5.82677200	5.90551200
2.57107201	5.82677200	5.90551200
2.60168001	5.90551200	5.90551200
2.63228801	5.90551200	5.90551200
2.66289601	5.98425200	5.90551200
2.69350401	5.98425200	5.90551200
2.72411201	5.98425200	5.90551200
2.75472001	6.06299200	5.90551200
2.78532801	6.06299200	5.90551200
2.81593601	6.06299200	5.90551200
2.84654401	6.14173200	5.90551200
2.87715201	6.14173200	5.82677200
2.90776001	6.14173200	5.82677200
2.93836801	6.22047200	5.82677200
2.96897601	6.22047200	5.90551200
2.99958401	6.22047200	5.82677200
3.03019201	6.29921200	5.82677200
3.06080001	6.29921200	5.82677200
3.09140801	6.37795300	5.82677200
3.12201601	6.37795300	5.82677200
3.15262401	6.37795300	5.82677200
3.18323201	6.37795300	5.82677200
3.21384001	6.45669300	5.82677200
3.24444801	6.45669300	5.82677200
3.27505601	6.45669300	5.82677200
3.30566401	6.45669300	5.82677200
3.33627201	6.53543300	5.82677200
3.36688001	6.53543300	5.74803200
3.39748801	6.53543300	5.82677200
3.42809601	6.53543300	5.82677200
3.45870401	6.61417300	5.74803200
3.48931201	6.61417300	5.74803200
3.51992001	6.69291400	5.74803200
3.55052801	6.69291400	5.74803200
3.58113601	6.69291400	5.74803200
3.61174401	6.77165400	5.74803200
3.64235201	6.77165400	5.74803200
3.67296001	6.77165400	5.74803200
3.70356801	6.85039400	5.74803200
3.73417601	6.85039400	5.74803200
3.76478401	6.85039400	5.74803200
3.79539201	6.85039400	5.74803200
3.82600001	6.92913400	5.74803200
