Tid	Kanal A
(s)	(V)

0.00000000	3.62204700
0.00003061	3.62204700
0.00006122	3.54330700
0.00009182	3.54330700
0.00012243	3.54330700
0.00015304	3.54330700
0.00018365	3.54330700
0.00021426	3.46456700
0.00024486	3.46456700
0.00027547	3.46456700
0.00030608	3.46456700
0.00033669	3.46456700
0.00036730	3.38582700
0.00039790	3.38582700
0.00042851	3.38582700
0.00045912	3.38582700
0.00048973	3.38582700
0.00052034	3.38582700
0.00055094	3.38582700
0.00058155	3.30708700
0.00061216	3.30708700
0.00064277	3.30708700
0.00067338	3.30708700
0.00070398	3.30708700
0.00073459	3.30708700
0.00076520	3.22834600
0.00079581	3.22834600
0.00082642	3.22834600
0.00085702	3.14960600
0.00088763	3.14960600
0.00091824	3.14960600
0.00094885	3.14960600
0.00097946	3.14960600
0.00101006	3.14960600
0.00104067	3.07086600
0.00107128	3.07086600
0.00110189	3.07086600
0.00113250	3.07086600
0.00116310	3.07086600
0.00119371	3.07086600
0.00122432	3.07086600
0.00125493	2.99212600
0.00128554	2.99212600
0.00131614	2.99212600
0.00134675	2.99212600
0.00137736	2.91338600
0.00140797	2.99212600
0.00143858	2.99212600
0.00146918	2.91338600
0.00149979	2.91338600
0.00153040	2.91338600
0.00156101	2.91338600
0.00159162	2.91338600
0.00162222	2.91338600
0.00165283	2.91338600
0.00168344	2.83464600
0.00171405	2.83464600
0.00174466	2.83464600
0.00177526	2.83464600
0.00180587	2.83464600
0.00183648	2.83464600
0.00186709	2.75590500
0.00189770	2.75590500
0.00192830	2.83464600
0.00195891	2.83464600
0.00198952	2.83464600
0.00202013	2.75590500
0.00205074	2.75590500
0.00208134	2.75590500
0.00211195	2.75590500
0.00214256	2.75590500
0.00217317	2.75590500
0.00220378	2.75590500
0.00223438	2.75590500
0.00226499	2.75590500
0.00229560	2.67716500
0.00232621	2.75590500
0.00235682	2.67716500
0.00238742	2.75590500
0.00241803	2.67716500
0.00244864	2.67716500
0.00247925	2.75590500
0.00250986	2.75590500
0.00254046	2.67716500
0.00257107	2.75590500
0.00260168	2.75590500
0.00263229	2.67716500
0.00266290	2.67716500
0.00269350	2.75590500
0.00272411	2.67716500
0.00275472	2.67716500
0.00278533	2.67716500
0.00281594	2.67716500
0.00284654	2.67716500
0.00287715	2.67716500
0.00290776	2.67716500
0.00293837	2.75590500
0.00296898	2.67716500
0.00299958	2.67716500
0.00303019	2.67716500
0.00306080	2.67716500
0.00309141	2.67716500
0.00312202	2.67716500
0.00315262	2.67716500
0.00318323	2.67716500
0.00321384	2.67716500
0.00324445	2.67716500
0.00327506	2.67716500
0.00330566	2.75590500
0.00333627	2.67716500
0.00336688	2.67716500
0.00339749	2.67716500
0.00342810	2.67716500
0.00345870	2.67716500
0.00348931	2.75590500
0.00351992	2.67716500
0.00355053	2.67716500
0.00358114	2.67716500
0.00361174	2.67716500
0.00364235	2.67716500
0.00367296	2.67716500
0.00370357	2.67716500
0.00373418	2.67716500
0.00376478	2.67716500
0.00379539	2.67716500
0.00382600	2.67716500
0.00385661	2.67716500
0.00388722	2.67716500
0.00391782	2.59842500
0.00394843	2.59842500
0.00397904	2.59842500
0.00400965	2.59842500
0.00404026	2.59842500
0.00407086	2.59842500
0.00410147	2.59842500
0.00413208	2.59842500
0.00416269	2.59842500
0.00419330	2.59842500
0.00422390	2.51968500
0.00425451	2.51968500
0.00428512	2.51968500
0.00431573	2.51968500
0.00434634	2.51968500
0.00437694	2.51968500
0.00440755	2.51968500
0.00443816	2.44094500
0.00446877	2.51968500
0.00449938	2.44094500
0.00452998	2.44094500
0.00456059	2.44094500
0.00459120	2.44094500
0.00462181	2.44094500
0.00465242	2.44094500
0.00468302	2.36220500
0.00471363	2.44094500
0.00474424	2.36220500
0.00477485	2.36220500
0.00480546	2.36220500
0.00483606	2.36220500
0.00486667	2.36220500
0.00489728	2.36220500
0.00492789	2.36220500
0.00495850	2.36220500
0.00498910	2.36220500
0.00501971	2.36220500
0.00505032	2.28346500
0.00508093	2.28346500
0.00511154	2.28346500
0.00514214	2.28346500
0.00517275	2.28346500
0.00520336	2.28346500
0.00523397	2.20472400
0.00526458	2.28346500
0.00529518	2.20472400
0.00532579	2.20472400
0.00535640	2.20472400
