Tid	Kanal A	Kanal B
(ms)	(V)	(V)

0.00000000	3.46456700	3.30708700
0.03060800	3.46456700	3.30708700
0.06121600	3.46456700	3.46456700
0.09182400	3.46456700	3.46456700
0.12243200	3.46456700	3.46456700
0.15304000	3.46456700	3.30708700
0.18364800	3.46456700	3.46456700
0.21425600	3.46456700	3.46456700
0.24486400	3.46456700	3.46456700
0.27547200	3.38582700	3.46456700
0.30608000	3.38582700	3.46456700
0.33668800	3.38582700	3.46456700
0.36729600	3.38582700	3.46456700
0.39790400	3.38582700	3.46456700
0.42851200	3.38582700	3.46456700
0.45912000	3.38582700	3.46456700
0.48972800	3.30708700	3.46456700
0.52033600	3.30708700	3.46456700
0.55094400	3.30708700	3.46456700
0.58155200	3.30708700	3.46456700
0.61216000	3.30708700	3.46456700
0.64276800	3.30708700	3.46456700
0.67337600	3.30708700	3.46456700
0.70398400	3.22834600	3.46456700
0.73459200	3.22834600	3.46456700
0.76520000	3.22834600	3.46456700
0.79580800	3.22834600	3.62204700
0.82641600	3.22834600	3.62204700
0.85702400	3.22834600	3.62204700
0.88763200	3.22834600	3.62204700
0.91824000	3.14960600	3.62204700
0.94884800	3.14960600	3.62204700
0.97945600	3.14960600	3.62204700
1.01006400	3.14960600	3.62204700
1.04067200	3.14960600	3.62204700
1.07128000	3.14960600	3.62204700
1.10188800	3.14960600	3.62204700
1.13249600	3.14960600	3.62204700
1.16310400	3.07086600	3.62204700
1.19371200	3.07086600	3.62204700
1.22432000	3.07086600	3.62204700
1.25492800	3.07086600	3.62204700
1.28553600	3.07086600	3.62204700
1.31614400	3.07086600	3.62204700
1.34675200	3.07086600	3.62204700
1.37736000	3.07086600	3.62204700
1.40796800	3.07086600	3.62204700
1.43857600	3.07086600	3.62204700
1.46918400	3.07086600	3.77952800
1.49979200	2.99212600	3.77952800
1.53040000	2.99212600	3.77952800
1.56100800	2.99212600	3.77952800
1.59161600	2.99212600	3.77952800
1.62222400	2.99212600	3.77952800
1.65283200	2.99212600	3.77952800
1.68344000	2.99212600	3.77952800
1.71404800	2.99212600	3.77952800
1.74465601	2.99212600	3.77952800
1.77526401	2.99212600	3.77952800
1.80587201	2.99212600	3.77952800
1.83648001	2.99212600	3.77952800
1.86708801	2.99212600	3.77952800
1.89769601	2.99212600	3.77952800
1.92830401	2.99212600	3.77952800
1.95891201	2.99212600	3.77952800
1.98952001	2.99212600	3.77952800
2.02012801	2.99212600	3.93700800
2.05073601	2.91338600	3.93700800
2.08134401	2.91338600	3.93700800
2.11195201	2.91338600	3.93700800
2.14256001	2.91338600	3.93700800
2.17316801	2.91338600	3.93700800
2.20377601	2.91338600	3.93700800
2.23438401	2.91338600	3.93700800
2.26499201	2.91338600	3.93700800
2.29560001	2.91338600	3.93700800
2.32620801	2.91338600	3.93700800
2.35681601	2.91338600	3.93700800
2.38742401	2.91338600	3.93700800
2.41803201	2.91338600	3.93700800
2.44864001	2.91338600	3.93700800
2.47924801	2.91338600	3.93700800
2.50985601	2.91338600	3.93700800
2.54046401	2.91338600	3.93700800
2.57107201	2.91338600	3.93700800
2.60168001	2.91338600	3.93700800
2.63228801	2.91338600	3.93700800
2.66289601	2.91338600	3.93700800
2.69350401	2.91338600	3.93700800
2.72411201	2.91338600	4.09448800
2.75472001	2.91338600	4.09448800
2.78532801	2.91338600	4.09448800
2.81593601	2.91338600	4.09448800
2.84654401	2.91338600	4.09448800
2.87715201	2.91338600	4.09448800
2.90776001	2.91338600	4.09448800
2.93836801	2.91338600	4.09448800
2.96897601	2.91338600	4.09448800
2.99958401	2.91338600	4.09448800
3.03019201	2.99212600	4.09448800
3.06080001	2.91338600	4.09448800
3.09140801	2.99212600	4.09448800
3.12201601	2.99212600	4.09448800
3.15262401	2.99212600	4.09448800
3.18323201	2.99212600	4.09448800
3.21384001	2.99212600	4.09448800
3.24444801	2.99212600	4.09448800
3.27505601	2.99212600	4.09448800
3.30566401	2.99212600	4.09448800
3.33627201	2.99212600	4.09448800
3.36688001	2.99212600	4.25196800
3.39748801	2.99212600	4.25196800
3.42809601	2.99212600	4.25196800
3.45870401	2.99212600	4.25196800
3.48931201	2.99212600	4.25196800
3.51992001	2.99212600	4.25196800
3.55052801	2.99212600	4.25196800
3.58113601	2.99212600	4.25196800
3.61174401	3.07086600	4.25196800
3.64235201	3.07086600	4.25196800
3.67296001	3.07086600	4.25196800
3.70356801	3.07086600	4.25196800
3.73417601	3.07086600	4.25196800
3.76478401	3.07086600	4.25196800
3.79539201	3.07086600	4.25196800
3.82600001	3.14960600	4.25196800
