Tid	Kanal A	Kanal B
(ms)	(V)	(V)

0.00000000	4.01574800	2.67716500
0.03060800	4.01574800	2.59842500
0.06121600	3.93700800	2.59842500
0.09182400	3.85826800	2.59842500
0.12243200	3.85826800	2.59842500
0.15304000	3.77952800	2.59842500
0.18364800	3.70078700	2.59842500
0.21425600	3.70078700	2.59842500
0.24486400	3.62204700	2.59842500
0.27547200	3.54330700	2.59842500
0.30608000	3.46456700	2.59842500
0.33668800	3.46456700	2.59842500
0.36729600	3.38582700	2.59842500
0.39790400	3.38582700	2.59842500
0.42851200	3.30708700	2.59842500
0.45912000	3.22834600	2.59842500
0.48972800	3.14960600	2.59842500
0.52033600	3.14960600	2.51968500
0.55094400	3.07086600	2.59842500
0.58155200	2.99212600	2.59842500
0.61216000	2.91338600	2.51968500
0.64276800	2.91338600	2.51968500
0.67337600	2.83464600	2.51968500
0.70398400	2.83464600	2.51968500
0.73459200	2.67716500	2.51968500
0.76520000	2.67716500	2.51968500
0.79580800	2.59842500	2.51968500
0.82641600	2.59842500	2.51968500
0.85702400	2.51968500	2.51968500
0.88763200	2.51968500	2.51968500
0.91824000	2.36220500	2.51968500
0.94884800	2.36220500	2.51968500
0.97945600	2.28346500	2.51968500
1.01006400	2.28346500	2.51968500
1.04067200	2.20472400	2.51968500
1.07128000	2.20472400	2.44094500
1.10188800	2.12598400	2.44094500
1.13249600	2.04724400	2.44094500
1.16310400	2.04724400	2.44094500
1.19371200	2.04724400	2.44094500
1.22432000	1.96850400	2.44094500
1.25492800	1.96850400	2.44094500
1.28553600	1.88976400	2.44094500
1.31614400	1.88976400	2.44094500
1.34675200	1.81102400	2.44094500
1.37736000	1.81102400	2.44094500
1.40796800	1.73228300	2.44094500
1.43857600	1.73228300	2.44094500
1.46918400	1.73228300	2.44094500
1.49979200	1.65354300	2.44094500
1.53040000	1.65354300	2.36220500
1.56100800	1.65354300	2.44094500
1.59161600	1.57480300	2.44094500
1.62222400	1.57480300	2.44094500
1.65283200	1.57480300	2.36220500
1.68344000	1.57480300	2.36220500
1.71404800	1.49606300	2.36220500
1.74465601	1.49606300	2.36220500
1.77526401	1.49606300	2.36220500
1.80587201	1.49606300	2.36220500
1.83648001	1.49606300	2.36220500
1.86708801	1.49606300	2.36220500
1.89769601	1.49606300	2.36220500
1.92830401	1.49606300	2.36220500
1.95891201	1.41732300	2.36220500
1.98952001	1.41732300	2.36220500
2.02012801	1.41732300	2.36220500
2.05073601	1.41732300	2.28346500
2.08134401	1.41732300	2.36220500
2.11195201	1.41732300	2.36220500
2.14256001	1.41732300	2.36220500
2.17316801	1.41732300	2.28346500
2.20377601	1.41732300	2.28346500
2.23438401	1.41732300	2.28346500
2.26499201	1.41732300	2.28346500
2.29560001	1.41732300	2.28346500
2.32620801	1.49606300	2.28346500
2.35681601	1.49606300	2.28346500
2.38742401	1.49606300	2.28346500
2.41803201	1.49606300	2.28346500
2.44864001	1.49606300	2.28346500
2.47924801	1.49606300	2.28346500
2.50985601	1.49606300	2.28346500
2.54046401	1.57480300	2.28346500
2.57107201	1.57480300	2.28346500
2.60168001	1.65354300	2.20472400
2.63228801	1.57480300	2.20472400
2.66289601	1.65354300	2.20472400
2.69350401	1.65354300	2.28346500
2.72411201	1.73228300	2.20472400
2.75472001	1.73228300	2.20472400
2.78532801	1.81102400	2.20472400
2.81593601	1.81102400	2.20472400
2.84654401	1.81102400	2.20472400
2.87715201	1.88976400	2.20472400
2.90776001	1.88976400	2.20472400
2.93836801	1.88976400	2.20472400
2.96897601	1.96850400	2.20472400
2.99958401	2.04724400	2.20472400
3.03019201	2.04724400	2.20472400
3.06080001	2.04724400	2.20472400
3.09140801	2.12598400	2.20472400
3.12201601	2.20472400	2.20472400
3.15262401	2.20472400	2.20472400
3.18323201	2.28346500	2.20472400
3.21384001	2.36220500	2.12598400
3.24444801	2.36220500	2.12598400
3.27505601	2.36220500	2.12598400
3.30566401	2.44094500	2.12598400
3.33627201	2.51968500	2.12598400
3.36688001	2.51968500	2.12598400
3.39748801	2.59842500	2.12598400
3.42809601	2.59842500	2.12598400
3.45870401	2.67716500	2.12598400
3.48931201	2.67716500	2.12598400
3.51992001	2.75590500	2.12598400
3.55052801	2.75590500	2.12598400
3.58113601	2.83464600	2.12598400
3.61174401	2.83464600	2.12598400
3.64235201	2.91338600	2.12598400
3.67296001	2.99212600	2.12598400
3.70356801	2.99212600	2.12598400
3.73417601	2.99212600	2.04724400
3.76478401	3.07086600	2.12598400
3.79539201	3.14960600	2.04724400
3.82600001	3.14960600	2.04724400
